,Class
0,SEKER
1,SEKER
2,SEKER
3,SEKER
4,SEKER
5,SEKER
6,SEKER
7,SEKER
8,SEKER
9,SEKER
10,SEKER
11,SEKER
12,SEKER
13,SEKER
14,SEKER
15,SEKER
16,SEKER
17,SEKER
18,SEKER
19,SEKER
20,SEKER
21,SEKER
22,SEKER
23,SEKER
24,SEKER
25,SEKER
26,SEKER
27,SEKER
28,SEKER
29,SEKER
30,SEKER
31,SEKER
32,SEKER
33,SEKER
34,SEKER
35,SEKER
36,SEKER
37,SEKER
38,SEKER
39,SEKER
40,SEKER
41,SEKER
42,SEKER
43,SEKER
44,SEKER
45,SEKER
46,SEKER
47,SEKER
48,SEKER
49,SEKER
50,SEKER
51,SEKER
52,SEKER
53,SEKER
54,SEKER
55,SEKER
56,SEKER
57,SEKER
58,SEKER
59,SEKER
60,SEKER
61,SEKER
62,SEKER
63,SEKER
64,SEKER
65,SEKER
66,SEKER
67,SEKER
68,SEKER
69,SEKER
70,SEKER
71,SEKER
72,SEKER
73,SEKER
74,SEKER
75,SEKER
76,SEKER
77,SEKER
78,SEKER
79,SEKER
80,SEKER
81,SEKER
82,SEKER
83,SEKER
84,SEKER
85,SEKER
86,SEKER
87,SEKER
88,SEKER
89,SEKER
90,SEKER
91,SEKER
92,SEKER
93,SEKER
94,SEKER
95,SEKER
96,SEKER
97,SEKER
98,SEKER
99,SEKER
100,SEKER
101,SEKER
102,SEKER
103,SEKER
104,SEKER
105,SEKER
106,SEKER
107,SEKER
108,SEKER
109,SEKER
110,SEKER
111,SEKER
112,SEKER
113,SEKER
114,SEKER
115,SEKER
116,SEKER
117,SEKER
118,SEKER
119,SEKER
120,SEKER
121,SEKER
122,SEKER
123,SEKER
124,SEKER
125,SEKER
126,SEKER
127,SEKER
128,SEKER
129,SEKER
130,SEKER
131,SEKER
132,SEKER
133,SEKER
134,SEKER
135,SEKER
136,SEKER
137,SEKER
138,SEKER
139,SEKER
140,SEKER
141,SEKER
142,SEKER
143,SEKER
144,SEKER
145,SEKER
146,SEKER
147,SEKER
148,SEKER
149,SEKER
150,SEKER
151,SEKER
152,SEKER
153,SEKER
154,SEKER
155,SEKER
156,SEKER
157,SEKER
158,SEKER
159,SEKER
160,SEKER
161,SEKER
162,SEKER
163,SEKER
164,SEKER
165,SEKER
166,SEKER
167,SEKER
168,SEKER
169,SEKER
170,SEKER
171,SEKER
172,SEKER
173,SEKER
174,SEKER
175,SEKER
176,SEKER
177,SEKER
178,SEKER
179,SEKER
180,SEKER
181,SEKER
182,SEKER
183,SEKER
184,SEKER
185,SEKER
186,SEKER
187,SEKER
188,SEKER
189,SEKER
190,SEKER
191,SEKER
192,SEKER
193,SEKER
194,SEKER
195,SEKER
196,SEKER
197,SEKER
198,SEKER
199,SEKER
200,SEKER
201,SEKER
202,SEKER
203,SEKER
204,SEKER
205,SEKER
206,SEKER
207,SEKER
208,SEKER
209,SEKER
210,SEKER
211,SEKER
212,SEKER
213,SEKER
214,SEKER
215,SEKER
216,SEKER
217,SEKER
218,SEKER
219,SEKER
220,SEKER
221,SEKER
222,SEKER
223,SEKER
224,SEKER
225,SEKER
226,SEKER
227,SEKER
228,SEKER
229,SEKER
230,SEKER
231,SEKER
232,SEKER
233,SEKER
234,SEKER
235,SEKER
236,SEKER
237,SEKER
238,SEKER
